variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
b_raw[52],1.061001395,1.058435,0.1356467202019047,0.13799670150000004,0.8432190499999999,1.2874204999999999,1.0025641613464489,1306.6907024032632,2786.4921851886656
b_raw[53],0.07700078901935001,0.07595705,0.16100427283258745,0.15975304107,-0.18971415,0.3434131999999999,1.0036257039683532,1952.9883534091093,2919.736576002082
b_raw[54],0.535207438075,0.5340125,0.15767541529950754,0.1605737343,0.2794098,0.79633555,1.0057235006191332,1430.5659992241222,2177.2621182184757
b_raw[55],0.28725568382975,0.285285,0.11685507020314012,0.11717803229999998,0.097971605,0.47999154999999993,1.003780098839243,955.8380207700419,2440.656801328174
b_raw[56],-0.0991746500587,-0.09884905,0.13374553652808546,0.13227082617,-0.32102315000000003,0.1204887499999997,1.0030538889505451,1736.781381267288,2420.876588582099
b_raw[57],-0.75507774075,-0.7548305,0.16147037994250912,0.1608887867999999,-1.0190910000000002,-0.4872010500000001,1.003806859160376,1606.4792981226367,2244.0065827654435
b_raw[58],1.733712295,1.73164,0.1377765802947018,0.14026137300000008,1.5093630000000002,1.9612084999999997,1.0039711189122627,791.9644624359435,1410.7729568317795
b_raw[59],0.015016192258650004,0.0132037,0.16132777866960465,0.15714418398,-0.24333775,0.2829140999999999,1.002288800392034,2124.068651868297,2221.653739153157
b_raw[60],1.5700819275,1.5655899999999998,0.1652951312022212,0.16599189599999958,1.3036665,1.8457875,1.002185732952744,1288.9456953290598,2106.7600239002013
b_raw[61],0.7340105615,0.731906,0.1622764188568305,0.16654045800000006,0.4783106,1.0033539999999999,1.0015949789682654,2063.372550834906,2889.71366694063
b_raw[62],-0.09074952825004999,-0.09335885,0.12499380129613984,0.126460761399,-0.29128434999999997,0.11475679999999998,1.0021641267236014,1636.1539198903856,2608.098022043314
b_raw[63],-0.5134935895,-0.513164,0.10895098369160938,0.10790585190000003,-0.6997106,-0.33730895,1.0046510987524164,828.8901215765463,1383.97356193804
b_raw[64],-1.01190255875,-1.013255,0.1207988510646238,0.1225457856,-1.2106485,-0.8110004500000001,1.004199836894734,945.2516799257489,1766.1250661927793
